GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
labo2,aed,Cobertura,0,85,0,16,0,23,0,12,0,4
labo2,aed,Debugging,25,119,0,28,4,25,1,20,1,6
